rookery,count_total,reproductive_colony,region,day,month,year,source,lat,lon,type_colony
Consag,421,1,north,18,6,1981,Aurioles & Zavala (1994),31.106819,-114.464047,Reproductiva
El Rasito,430,1,north,16,7,1991,Aurioles & Zavala (1994),28.836598,-112.999130,Reproductiva
Granito,1662,1,north,18,7,1991,Aurioles & Zavala (1994),29.564582,-113.539447,Reproductiva
Cabo Lobos,207,0,north,6,7,1979,Aurioles & Zavala (1994),29.899553,-112.749957,Descanso
Lobos,3117,1,north,27,6,1984,Aurioles & Zavala (1994),30.051106,-114.488932,Reproductiva
Roca Vela,147,0,north,16,5,1985,Aurioles & Zavala (1994),29.532168,-113.593397,Descanso
Los Cantiles,1310,1,north,15,7,1991,Aurioles & Zavala (1994),29.503114,-113.444638,Reproductiva
Los Islotes,291,1,central,20,7,1993,Aurioles & Zavala (1994),24.598754,-110.402151,Reproductiva
Isla Patos,473,0,north,7,7,1979,Aurioles & Zavala (1994),29.267457,-112.457718,Descanso
La Calavera,67,0,north,11,4,1979,Aurioles & Zavala (1994),29.030357,-113.499691,Descanso
Los Machos,1507,1,north,2,7,1990,Aurioles & Zavala (1994),29.295630,-113.502043,Reproductiva
Perdedores-Partido,912,1,north,16,7,1991,Aurioles & Zavala (1994),28.911436,-113.043436,Reproductiva
Salsipuedes,112,0,north,13,8,1979,Aurioles & Zavala (1994),28.725519,-112.954845,Descanso
San Esteban,5236,1,north,18,7,1990,Aurioles & Zavala (1994),28.701134,-112.577367,Reproductiva
Francisquito,13,0,central,16,2,1980,Aurioles & Zavala (1994),28.429647,-112.866454,Descanso
San Jorge,3413,1,north,15,6,1985,Aurioles & Zavala (1994),31.012669,-113.244203,Reproductiva
San Pedro Martir,1843,1,central,19,7,1991,Aurioles & Zavala (1994),28.381027,-112.308375,Reproductiva
Cabo Haro,14,0,central,20,5,1984,Aurioles & Zavala (1994),27.840598,-110.885210,Descanso
San Marcos,140,0,central,15,8,1986,Aurioles & Zavala (1994),27.223956,-112.065639,Descanso
Coronado,12,0,central,13,5,1987,Aurioles & Zavala (1994),26.119760,-111.277814,Descanso
Las Animas,28,0,central,7,8,1987,Aurioles & Zavala (1994),25.115087,-110.506973,Descanso
La Habana,30,0,central,9,9,1979,Aurioles & Zavala (1994),25.211766,-110.851841,Descanso
A. Coyote,29,0,central,9,9,1979,Aurioles & Zavala (1994),24.701289,-110.694157,Descanso
San Pedro Nolasco,1193,1,central,15,7,1991,Aurioles & Zavala (1994),27.966011,-111.378241,Reproductiva
Topolobambo,534,1,south,16,7,1985,Aurioles & Zavala (1994),25.597560,-109.059519,Reproductiva
Las Focas,17,0,south,5,5,1987,Aurioles & Zavala (1994),24.474682,-109.727607,Descanso
L. Frailes,52,0,south,19,6,1982,Aurioles & Zavala (1994),23.375778,-109.431058,Descanso
Cabo San Lucas,36,0,south,19,6,1982,Aurioles & Zavala (1994),22.876300,-109.893264,Descanso
Mazatlàn,10,0,south,10,4,1979,Aurioles & Zavala (1994),23.176066,-106.428308,Descanso
